Number,Left context,Match,Match2,Right context,Link,Query
81,Hebr. N«ob labbi;,Arab,,". Hiob laba, rrob","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1449&zoom=width&showposition=0.334,0.852&highlight=769,464,57,24#Linde",Arab
82,"noMHiOBaTb, cowaxbTb; (cf.",Arab,,. uib luth»fuit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1472&zoom=width&showposition=0.573,0.834&highlight=1348,520,56,24#Linde",Arab
84,"Snu? sachal ftuxit lacrima- ,",Arab,,. Sb® fudit la,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1513&zoom=width&showposition=0.784,0.619&highlight=1846,1212,56,24#Linde",Arab
85,"- vit, mazah ezpressit- ,",Arab,,. DDS tetigit; cf,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1535&zoom=width&showposition=0.716,0.721&highlight=1702,883,58,24#Linde",Arab
87,Hebr. em ma- ter;,Arab,,". KtOH mater fuit,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1581&zoom=width&showposition=0.123,0.290&highlight=267,2267,57,24#Linde",Arab
89,"- sa; [sl, mosa",Arab,,. mosc; Lat.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1586&zoom=width&showposition=0.664,0.709&highlight=1563,918,59,25#Linde",Arab
90,. Lat. machaera; cf.,Arab,,. JWO percussit gladio),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1610&zoom=width&showposition=0.106,0.413&highlight=225,1861,56,24#Linde",Arab
91,". mierzyć pole, MeweBWHKi ziemiomierca;",Arab,,. ter- minus;,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1612&zoom=width&showposition=0.419,0.119&highlight=977,2805,56,24#Linde",Arab
92,", Syr. nEtt mensut est,",Arab,,. riDtt; cf.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1612&zoom=width&showposition=0.385,0.132&highlight=894,2762,57,24#Linde",Arab
95,"milliare, Graec.ftO.ov, Chald. ,",Arab,,"uhli mil, milo,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1634&zoom=width&showposition=0.817,0.384&highlight=1919,1950,68,25#Linde",Arab
96,; Graec. fisi- cf.,Arab,,. propensus sum; cf,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1640&zoom=width&showposition=0.189,0.627&highlight=420,1176,62,26#Linde",Arab
97,"191913 matat, dimoveri\ cf.",Arab,,". tsia mut, moveri","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1646&zoom=width&showposition=0.485,0.132&highlight=1130,2762,60,25#Linde",Arab
98,". motać, motowidło, cf.",Arab,,". wta, percussit gladio","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1646&zoom=width&showposition=0.134,0.159&highlight=290,2676,59,25#Linde",Arab
99,". MOKpeHHUH; (Syr.,",Arab,,. iprs aquam terrae immisit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1675&zoom=width&showposition=0.375,0.463&highlight=864,1707,62,26#Linde",Arab
100,"Hebr. matat, dimoiit-,",Arab,,. et Hebr. łsitt,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1686&zoom=width&showposition=0.381,0.871&highlight=884,399,61,25#Linde",Arab
101,". ni» muuch, cerebrum;",Arab,,. i); g,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1691&zoom=width&showposition=0.319,0.157&highlight=732,2690,63,26#Linde",Arab
102,. muus ; Pert. mouscs;,Arab,,. DT»; Lat,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1714&zoom=width&showposition=0.369,0.856&highlight=856,447,62,26#Linde",Arab
104,", vr]da> neo;",Arab,,". PitiJ nata, fila","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1838&zoom=width&showposition=0.193,0.227&highlight=437,2460,57,24#Linde",Arab
105,"Graec. reepsky, fścpoę nubis ;",Arab,,". łaj nebo, nabo","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1840&zoom=width&showposition=0.547,0.830&highlight=1284,531,56,24#Linde",Arab
110,", pulice; Lat. pulex;",Arab,,. Np2; Germ.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2233&zoom=width&showposition=0.236,0.760&highlight=542,760,56,24#Linde",Arab
112,fe worech hiascit); cf.,Arab,,". ppD, aperuit;","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2236&zoom=width&showposition=0.625,0.764&highlight=1476,744,56,24#Linde",Arab
113,"npaBHTb sprawować, władać, cf.",Arab,,". mo dixit, finxit","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2624&zoom=width&showposition=0.926,0.427&highlight=2187,1828,60,25#Linde",Arab
115,"Rost. nyKayrb, nyKaTb; (",Arab,,. ppD aperuit; Syr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2885&zoom=width&showposition=0.103,0.155&highlight=221,2716,58,33#Linde",Arab
118,. (Syr. Km admonuit;,Arab,,. corroboravit ani- mum,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2926&zoom=width&showposition=0.807,0.621&highlight=1928,1208,63,26#Linde",Arab
120,! (Syr. Nm admonuit;,Arab,,. t3U") clamorem,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2937&zoom=width&showposition=0.156,0.314&highlight=341,2186,63,26#Linde",Arab
126,et rot; Firil. routu ;,Arab,,". tttJ"" rotuot,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2977&zoom=width&showposition=0.805,0.677&highlight=1890,1020,62,25#Linde",Arab
130,", nerad plugastwa , riany pulcer;",Arab,,. ]jn ornarit),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3089&zoom=width&showposition=0.089,0.541&highlight=189,1467,54,23#Linde",Arab
134,CKOT"Ł ; (cf.,Arab,,". Uip koth, grex","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3202&zoom=width&showposition=0.151,0.748&highlight=334,793,59,25#Linde",Arab
135,. Graec. xt>Qvę],Arab,,". -op kabor,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3202&zoom=width&showposition=0.552,0.883&highlight=1296,361,59,25#Linde",Arab
137,. Lat. sacer; cf.,Arab,,". ipł sakara, acute","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3272&zoom=width&showposition=0.667,0.667&highlight=1572,1055,56,24#Linde",Arab
138,vnvo{\ Lal. sopio;,Arab,,. H2D sopore corruplus est,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3277&zoom=width&showposition=0.896,0.694&highlight=2099,966,57,24#Linde",Arab
139,"meluit\ Syr. NID cacavitr ,",Arab,,". Nin, >>","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.453,0.298&highlight=1056,2232,62,26#Linde",Arab
140,"- bilavit, ^piD sarki;",Arab,,". serak avis praedatriz,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3326&zoom=width&showposition=0.264,0.869&highlight=601,404,62,26#Linde",Arab
