Number,Left context,Match,Match2,Right context,Link,Query
87,", m., ćwierć łota.",Syr. Rej,,. ba? fiueutdjen.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1394&zoom=width&showposition=0.937,0.512&highlight=2216,1543,39,32#Linde",Syr '[.]' '[^[:digit:]].*'
88,"Krup. 5, 643.,",Syr. Rej,,. — W ewanielii lunatyki,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1502&zoom=width&showposition=0.607,0.704&highlight=1439,934,37,31#Linde",Syr '[.]' '[^[:digit:]].*'
89,rówki. Syr. 554. et,Syr. Rej,,"., bie ^etetfdjen","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2857&zoom=width&showposition=0.230,0.288&highlight=537,2285,42,35#Linde",Syr '[.]' '[^[:digit:]].*'
90,od dołu do ko- lanka.,Syr. Rej,,". , Ross. cajKa","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3115&zoom=width&showposition=0.124,0.137&highlight=283,2751,33,28#Linde",Syr '[.]' '[^[:digit:]].*'
91,"słup poszłe, stre- twiałe.",Syr. Rej,,". ftarrenbe Slugett, ftierer","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3240&zoom=width&showposition=0.166,0.687&highlight=379,987,41,33#Linde",Syr '[.]' '[^[:digit:]].*'
92,et 230. Zaśniat i zaparzysko.,Syr. Rej,,"., (cf.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4582&zoom=width&showposition=0.442,0.550&highlight=1051,1427,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
93,dbli#. Zaszkodne uiywanie ziół.,Syr. Rej,,. Sprawa ta zaniosła się,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4596&zoom=width&showposition=0.108,0.415&highlight=241,1857,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
94,", coBOKyniHTb, AOKonuTb; cf.",Syr. rffip,,rem rei imposuit);,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1373&zoom=width&showposition=0.541,0.604&highlight=1265,1252,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
95,. ral- lum; Chald.,Syr. rm,,aravit; Graec. qo,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2927&zoom=width&showposition=0.600,0.598&highlight=1417,1273,41,32#Linde",Syr '[.]' '[^[:digit:]].*'
96,cf. Hebr. nETO maschach;,Syr. rXll,,meschach un.rit; cf.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1584&zoom=width&showposition=0.296,0.477&highlight=692,1657,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
98,"; Chald., Rabb. et",Syr. saltan,,", dominator, ob.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3510&zoom=width&showposition=0.548,0.520&highlight=1293,1519,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
99,"- bura , giburo>rolnik;",Syr. Samar,,. Chald. "Q,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=856&zoom=width&showposition=0.711,0.809&highlight=1674,596,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
100,ciało swe dręcząccmi udać się chcą.,Syr. Sekl,,". 10, ob.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1921&zoom=width&showposition=0.419,0.508&highlight=989,1558,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
101,• . Li- ście senesowe.,Syr. SENLIWY,,", a, e,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3149&zoom=width&showposition=0.191,0.140&highlight=438,2741,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
102,"ocie3HTH, oiuaHBTk opłakać; cf.",Syr. Snu,,? sachal ftuxit lacrima-,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1513&zoom=width&showposition=0.540,0.620&highlight=1274,1206,36,29#Linde",Syr '[.]' '[^[:digit:]].*'
103,", 668. Ślizkość abo ślamowatość.",Syr. swym,,"domyśle, a domysł pewności","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3503&zoom=width&showposition=0.902,0.549&highlight=2113,1422,40,33#Linde",Syr '[.]' '[^[:digit:]].*'
105,^-Ł; (cf.,Syr. T,,"® scharar, turpem esse","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3493&zoom=width&showposition=0.508,0.217&highlight=1181,2480,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
106,thum; Chald. jnn tera;,Syr. taro,,; Arab. nmn .,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3725&zoom=width&showposition=0.148,0.118&highlight=329,2800,44,36#Linde",Syr '[.]' '[^[:digit:]].*'
107,fuit; Bebr. pa taan\,Syr. tean,,oneravit). W T,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=441&zoom=width&showposition=0.639,0.250&highlight=1506,2391,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
108,"ibi; Chald. sn tam,",Syr. TJ2.1,,"teman, ibi) ;","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3120&zoom=width&showposition=0.553,0.600&highlight=1308,1264,39,32#Linde",Syr '[.]' '[^[:digit:]].*'
109,; Carn. ar- dram;,Syr. tn,,litigavit\ cf. Graec,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=988&zoom=width&showposition=0.154,0.743&highlight=349,806,37,31#Linde",Syr '[.]' '[^[:digit:]].*'
111,"J tirah, palalium, arx\",Syr. tur,,; Sorab. 1 .,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3650&zoom=width&showposition=0.774,0.170&highlight=1820,2630,40,33#Linde",Syr '[.]' '[^[:digit:]].*'
112,"ob. Kania przędza, kanianka.",Syr. Urzęd,,. 111 . glad;,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4200&zoom=width&showposition=0.301,0.265&highlight=700,2331,32,28#Linde",Syr '[.]' '[^[:digit:]].*'
113,. Uin chuth; Chald. et,Syr. utsn,,chatat); igłą i,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3535&zoom=width&showposition=0.413,0.738&highlight=961,820,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
114,; (Arab. ppD aperuit;,Syr. ypc,,"dividi); pęknąć,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2885&zoom=width&showposition=0.235,0.155&highlight=551,2716,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
115,życiu zakon- nym. W .,Syr. Zakonne,,"ustawy, zakonne abo zakonnicze","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4467&zoom=width&showposition=0.165,0.304&highlight=377,2221,40,33#Linde",Syr '[.]' '[^[:digit:]].*'
143,) . Ciało chudniejące i niszczejące.,Syr. Ziel,,. 285. Ciało niszczeje,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1868&zoom=width&showposition=0.886,0.159&highlight=2116,2672,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
